city,Date,Population Density,Household Density,Open Forest,Moderate Dense Forest,Very Dense Forest,AT_avg,CO_avg,NH3_avg,NO_avg,NO2_avg,NOx_avg,Ozone_avg,PM2.5_avg,PM10_avg,RH_avg,SO2_avg,SR_avg,Temp_avg,WS_avg,Confirmed,Recovered,Deceased
bangalore,2020-05-24,4381,1081,11.97,1.12,0,25.826,0.594,8.534,3.902,14.4,13.935,29.476,20.631,69.825,69.81,5.702,186.037,25.248,1.282,268,130,10
bangalore,2020-05-25,4381,1081,11.97,1.12,0,26.217,0.662,8.801,4.216,17.436,16.714,34.13,22.565,65.867,66.764,5.709,189.579,25.362,1.137,276,149,10
bangalore,2020-05-26,4381,1081,11.97,1.12,0,25.773,0.728,8.925,4.438,17.14,16.512,34.552,23.085,69.353,68.547,6.244,215.244,25.775,1.207,278,149,10
bangalore,2020-05-27,4381,1081,11.97,1.12,0,24.291,0.831,10.255,4.756,18.59,17.967,29.153,22.754,63.976,72.764,5.959,180.375,25.847,1.228,284,151,10
bangalore,2020-05-28,4381,1081,11.97,1.12,0,25.54,0.628,8.559,4.506,15.62,15.939,31.025,27.221,64.765,69.1,6.22,211.747,26.21,1.237,293,151,10
bangalore,2020-05-29,4381,1081,11.97,1.12,0,25.221,0.726,8.191,5.028,17.622,17.202,25.946,19.946,59.417,73.752,6.146,199.279,26.165,1.135,305,151,10
bangalore,2020-05-30,4381,1081,11.97,1.12,0,25.808,0.693,7.718,4.399,16.572,16.854,26.119,15.9,56.35,70.674,6.183,182.269,26.075,1.015,338,172,10
bangalore,2020-05-31,4381,1081,11.97,1.12,0,26.745,0.865,7.055,3.65,13.143,13.389,26.754,21.999,64.009,66.804,7.019,228.902,25.993,1.217,359,231,10
bangalore,2020-06-01,4381,1081,11.97,1.12,0,25.935,0.654,5.885,3.73,12.418,13.03,22.575,9.529,49.564,71.12,6.737,189.072,25.735,1.335,383,243,11
bangalore,2020-06-02,4381,1081,11.97,1.12,0,24.948,0.582,5.481,4.133,12.146,13.915,19.676,11.624,37.75,72.416,6.305,110.302,25.338,1.635,395,243,11
bangalore,2020-06-03,4381,1081,11.97,1.12,0,25.058,0.686,5.341,4.385,11.909,12.973,21.802,13.328,45.065,71.856,6.972,172.425,25.623,1.857,415,262,11
bangalore,2020-06-04,4381,1081,11.97,1.12,0,25.535,0.638,5.23,8.463,12.572,14.336,19.869,13.531,51.025,71.818,6.936,160.625,25.383,1.652,424,262,13
bangalore,2020-06-05,4381,1081,11.97,1.12,0,25.858,0.642,5.961,4.056,19.173,18.469,20.889,23.929,61.122,68.37,7.036,192.777,25.597,1.32,434,271,13
bangalore,2020-06-06,4381,1081,11.97,1.12,0,25.139,0.557,6.965,12.023,15.606,14.282,20.305,20.332,60.108,73.668,6.804,125.98,25.283,1.48,452,276,13
bangalore,2020-06-07,4381,1081,11.97,1.12,0,25.042,0.561,5.214,3.954,13.815,14.081,17.465,20.058,59.082,72.814,7.016,178.449,25.317,1.302,475,298,15
bangalore,2020-06-08,4381,1081,11.97,1.12,0,26.069,0.644,5.466,4.624,16.28,16.753,19.211,22.099,56.398,65.038,6.696,148.515,25.367,1.577,493,298,18
bangalore,2020-06-09,4381,1081,11.97,1.12,0,25.467,0.629,5.894,4.291,15.939,16.34,19.02,23.709,65.646,69.244,7.221,153.55,25.36,1.543,522,298,19
bangalore,2020-06-10,4381,1081,11.97,1.12,0,25.031,0.65,6.101,11.27,16.199,17.265,17.89,25.858,73.259,73.866,6.844,127.282,25.455,1.593,564,298,21
bangalore,2020-06-11,4381,1081,11.97,1.12,0,24.358,0.65,6.028,5.351,14.855,16.511,15.671,18.778,52.318,76.664,6.887,116.172,25.368,1.673,581,299,23
bangalore,2020-06-12,4381,1081,11.97,1.12,0,24.122,0.611,6.009,5.226,14.503,16.203,18.241,19.336,49.778,72.165,6.893,139.31,25.37,1.827,617,299,27
bangalore,2020-06-13,4381,1081,11.97,1.12,0,23.844,0.776,6.604,4.947,14.499,15.634,17.23,19.342,55.652,78.027,7.156,100.42,25.317,1.822,648,299,29
bangalore,2020-06-14,4381,1081,11.97,1.12,0,24.229,0.569,6.635,4.752,12.366,14.163,16.469,18.917,50.96,74.669,6.895,158.675,25.078,1.905,690,327,32
bangalore,2020-06-15,4381,1081,11.97,1.12,0,24.314,0.637,6.55,5.058,13.411,15.315,18.517,21.657,54.356,71.684,7.648,146.192,25.018,1.797,725,329,33
bangalore,2020-06-16,4381,1081,11.97,1.12,0,24.605,0.602,6.933,4.964,13.177,14.879,18.989,19.383,57.728,74.705,7.123,122.198,25.078,1.822,772,361,38
bangalore,2020-06-17,4381,1081,11.97,1.12,0,24.309,0.644,6.501,5.368,13.925,15.53,16.364,20.752,65.937,76.974,7.271,98.518,25.235,1.795,827,370,43
bangalore,2020-06-18,4381,1081,11.97,1.12,0,24.052,0.74,6.773,5.12,14.099,15.755,15.367,29.494,71.156,76.695,7.26,107.568,24.457,1.752,844,384,51
bangalore,2020-06-19,4381,1081,11.97,1.12,0,24.945,0.646,6.633,4.989,14.356,16.021,15.337,23.477,65.976,71.899,6.992,164.158,24.403,1.67,982,392,58
bangalore,2020-06-20,4381,1081,11.97,1.12,0,25.334,0.639,6.581,4.987,14.522,16.058,16.669,21.317,59.499,68.863,7.178,144.61,24.387,1.625,1076,394,61
bangalore,2020-06-21,4381,1081,11.97,1.12,0,24.507,0.573,6.509,4.396,12.365,14.011,16.161,19.479,54.871,73.733,7.027,121.542,24.283,1.623,1272,411,64
bangalore,2020-06-22,4381,1081,11.97,1.12,0,24.329,0.583,6.519,5.256,14.528,16.4,15.819,18.196,54.07,73.573,6.765,144.988,24.265,1.625,1398,411,67
bangalore,2020-06-23,4381,1081,11.97,1.12,0,25.292,0.613,6.715,4.883,14.652,16.204,20.179,22.988,61.355,68.368,6.605,175.388,24.35,1.593,1505,435,73
bangalore,2020-06-24,4381,1081,11.97,1.12,0,24.76,0.612,7.094,4.983,14.636,16.117,20.201,21.466,62.557,71.907,6.748,160.848,24.638,1.501,1678,476,78
bangalore,2020-06-25,4381,1081,11.97,1.12,0,24.196,0.744,7.121,5.722,18.337,18.733,21.265,20.043,53.933,74.53,7.586,156.021,24.187,1.416,1791,506,78
bangalore,2020-06-26,4381,1081,11.97,1.12,0,23.844,0.561,7.09,4.862,14.66,15.975,21.255,15.445,44.428,76.579,6.776,188.385,24.468,1.318,1935,527,81
bangalore,2020-06-27,4381,1081,11.97,1.12,0,24.826,0.76,7.24,4.114,16.574,15.975,20.301,18.185,57.404,74.209,6.83,172.809,24.228,1.192,2531,534,84
bangalore,2020-06-28,4381,1081,11.97,1.12,0,25.25,0.663,7.069,3.865,14.433,14.443,21.758,21.29,56.045,72.754,6.361,165.964,24.203,1.132,3314,534,88
bangalore,2020-06-29,4381,1081,11.97,1.12,0,24.842,0.624,7.016,4.618,15.053,15.925,21.64,27.684,54.306,75.397,6.021,133.678,24.482,1.415,4052,534,91
bangalore,2020-06-30,4381,1081,11.97,1.12,0,25.625,0.617,7.085,4.813,14.995,16.397,20.295,14.49,53.917,71.647,6.162,148.19,24.725,1.45,4555,544,95
bangalore,2020-07-01,4381,1081,11.97,1.12,0,25.024,0.608,6.855,4.663,14.417,15.79,19.731,17.124,54.819,70.626,6.272,146.112,24.617,1.618,5290,544,97
bangalore,2020-07-02,4381,1081,11.97,1.12,0,23.642,0.614,6.904,5.118,14.92,16.479,15.884,15.616,49.79,79.497,6.627,73.558,24.65,1.527,6179,574,100
bangalore,2020-07-03,4381,1081,11.97,1.12,0,23.767,0.604,6.413,5.02,13.856,15.718,17.852,14.69,49.009,76.234,7.117,142.678,24.597,1.683,7173,771,105
bangalore,2020-07-04,4381,1081,11.97,1.12,0,24.015,0.578,6.278,4.733,12.834,14.725,17.704,14.295,47.797,75.868,7.832,130.942,24.428,1.713,8345,966,129
bangalore,2020-07-05,4381,1081,11.97,1.12,0,24.064,0.496,6.121,4.038,10.362,12.21,18.529,17.721,49.38,78.878,6.74,115.565,24.477,1.663,9580,1268,145
bangalore,2020-07-06,4381,1081,11.97,1.12,0,23.892,0.576,6.343,4.603,12.318,14.094,18.66,17.828,52.541,76.81,7.243,98.572,24.683,1.69,10561,1546,155
bangalore,2020-07-07,4381,1081,11.97,1.12,0,24.374,0.557,6.355,4.681,12.599,14.498,18.962,16.495,49.913,75.632,7.099,141.575,24.755,1.707,11361,1811,155
bangalore,2020-07-08,4381,1081,11.97,1.12,0,24.007,0.613,6.281,5.133,12.926,15.048,18.531,17.76,45.676,78.245,6.509,143.215,25,1.53,12509,2229,177
bangalore,2020-07-09,4381,1081,11.97,1.12,0,24.337,0.535,6.31,4.745,12.593,14.403,17.662,12.042,47.779,77.473,7.22,183.279,25.183,1.09,13882,2835,177
bangalore,2020-07-10,4381,1081,11.97,1.12,0,23.972,0.549,6.465,5.349,13.034,15.247,17.57,14.215,49.402,77.977,7.107,147.224,24.935,1.109,15329,3436,206
bangalore,2020-07-11,4381,1081,11.97,1.12,0,25.001,0.562,6.298,5.257,13.307,15.378,20.64,14.675,50.557,69.69,7.04,184.949,24.897,1.13,16862,3840,229
bangalore,2020-07-12,4381,1081,11.97,1.12,0,25.162,0.56,6.116,5.076,10.9,13.403,21.597,12.384,44.222,68.798,6.413,178.829,24.962,1.212,18387,4046,274
bangalore,2020-07-13,4381,1081,11.97,1.12,0,24.998,0.654,6.37,5.478,14.859,16.734,22.826,19.018,53.366,71.91,6.503,86.288,24.917,1.33,19702,4329,321
bangalore,2020-07-14,4381,1081,11.97,1.12,0,24.514,0.604,6.324,5.028,13.957,16.121,17.905,17.161,51.855,71.906,6.426,113.351,24.777,1.46,20969,4992,377
bangalore,2020-07-15,4381,1081,11.97,1.12,0,23.601,0.681,6.373,4.308,11.303,13.222,17.979,13.829,46.985,77.651,6.711,113.006,24.952,1.521,22942,5455,437
bangalore,2020-07-16,4381,1081,11.97,1.12,0,23.115,0.532,6.4,4.704,10.93,12.772,16.172,13.267,44.32,82.832,7.012,102.68,24.903,1.435,25286,5952,507
bangalore,2020-07-17,4381,1081,11.97,1.12,0,23.449,0.569,6.29,4.179,11.862,13.349,18.256,13.662,49.894,79.686,6.752,94.008,24.677,1.57,27494,6290,582
bangalore,2020-07-18,4381,1081,11.97,1.12,0,24.161,0.564,6.306,4.243,12.073,13.619,18.616,14.709,52.718,76.996,6.665,92.382,24.757,1.377,29619,6540,631
bangalore,2020-07-19,4381,1081,11.97,1.12,0,24.76,0.622,7.001,4.421,14.093,14.89,20.366,16.387,54.316,76.531,6.245,73.168,24.714,1.138,31775,6793,667
bangalore,2020-07-20,4381,1081,11.97,1.12,0,24.751,0.624,6.563,4.664,13.887,15.368,21.58,17.122,50.326,74.764,6.552,151.886,24.905,1.393,33227,6956,698
bangalore,2020-07-21,4381,1081,11.97,1.12,0,25.026,0.568,6.348,4.508,12.866,14.56,21.761,14.543,44.213,68.368,6.464,193.486,24.927,1.436,34941,7476,720
bangalore,2020-07-22,4381,1081,11.97,1.12,0,26.11,0.668,7.068,4.673,15.745,16.392,26.801,28.848,62.772,66.1,6.743,152.071,25.062,1.42,36993,8288,735
bangalore,2020-07-23,4381,1081,11.97,1.12,0,26.213,0.581,6.905,4.744,15.824,16.957,25.069,23.367,59.912,69.999,6.841,154.323,25.095,1.296,39200,9326,783
bangalore,2020-07-24,4381,1081,11.97,1.12,0,25.776,0.543,6.866,4.886,15.527,17.485,20.33,19.764,52.122,73.64,6.68,125.453,24.928,1.428,41467,10072,833
bangalore,2020-07-25,4381,1081,11.97,1.12,0,24.437,0.522,6.273,5.185,15.565,17.939,22.088,16.894,50.698,70.467,6.67,155.828,25.003,1.498,43503,10758,862
bangalore,2020-07-26,4381,1081,11.97,1.12,0,24.424,0.504,6.255,4.562,13.647,15.784,22.013,17.371,51.319,69.307,6.942,145.926,25.225,1.513,45453,11405,891
bangalore,2020-07-27,4381,1081,11.97,1.12,0,24.543,0.575,6.199,5.376,15.783,18.158,21.523,19.088,56.004,69.898,7.281,165.158,25.003,1.451,46923,12189,917
bangalore,2020-07-28,4381,1081,11.97,1.12,0,24.818,0.823,6.501,5.902,16.845,19.19,20.405,15.34,51.78,69.861,7.481,150.618,24.983,1.346,48821,12761,957
bangalore,2020-07-29,4381,1081,11.97,1.12,0,23.86,0.742,7.129,5.701,16.69,18.735,18.536,16.989,54.834,77.893,7.281,95.341,24.867,1.346,51091,13879,987
bangalore,2020-07-30,4381,1081,11.97,1.12,0,24.328,0.707,6.765,4.979,14.859,16.903,19.354,13.098,47.979,73.751,6.193,128.146,24.908,1.398,53324,15791,1009
bangalore,2020-07-31,4381,1081,11.97,1.12,0,24.713,0.542,6.626,4.618,13.885,15.836,19.828,15.65,48.877,72.867,6.321,148.081,24.94,1.46,55544,16896,1029
bangalore,2020-08-01,4381,1081,11.97,1.12,0,23.751,0.55,6.636,4.686,13.618,15.73,18.698,32.684,47.292,75.933,5.532,136.293,25.1,1.558,57396,18579,1056
bangalore,2020-08-02,4381,1081,11.97,1.12,0,24.176,0.475,16.689,13.204,21.887,26.694,21.839,17.254,48.875,71.373,9.628,155.613,25.305,1.695,59501,20910,1077
bangalore,2020-08-03,4381,1081,11.97,1.12,0,23.777,0.533,6.624,5.633,14.629,17.381,20.271,33.604,49.411,74.327,6.23,110.241,25.007,1.7,60998,23603,1104
bangalore,2020-08-04,4381,1081,11.97,1.12,0,23.263,0.462,5.98,4.693,13.951,16.269,18.588,15.982,49.257,75.439,6.366,96.798,25.14,1.791,63033,27877,1134
bangalore,2020-08-05,4381,1081,11.97,1.12,0,23.188,0.506,6.001,4.648,13.961,15.625,18.698,17.275,53.028,75.44,8.732,98.458,25.138,1.808,64881,30960,1163
bangalore,2020-08-06,4381,1081,11.97,1.12,0,24.234,0.516,6.124,4.369,13.726,15.034,18.513,17.412,55.35,73.321,6.55,129.401,25.212,1.733,67425,33932,1178
bangalore,2020-08-07,4381,1081,11.97,1.12,0,24.486,0.527,6.03,4.433,13.776,15.543,18.519,16.595,54.903,73.219,6.846,117.508,25.092,1.705,69572,35063,1200
bangalore,2020-08-08,4381,1081,11.97,1.12,0,23.943,0.489,6.023,4.596,14.047,15.891,19.464,17.266,53.979,74.476,6.481,114.008,25.032,1.651,72237,37292,1218
bangalore,2020-08-09,4381,1081,11.97,1.12,0,23.127,0.537,5.964,4.866,13.743,15.426,22.741,17.129,53.327,74.967,7.384,130.157,24.922,1.564,74185,39129,1240
bangalore,2020-08-10,4381,1081,11.97,1.12,0,23.148,0.536,6.165,4.666,15.036,16.52,23.247,18.876,53.095,72.921,7.561,126.97,25.02,1.664,75428,41166,1276
bangalore,2020-08-11,4381,1081,11.97,1.12,0,23.78,0.575,6.349,11.694,18.315,25.534,23.42,24.572,65.249,73.015,7.133,136.117,24.943,1.545,77038,42674,1293
bangalore,2020-08-12,4381,1081,11.97,1.12,0,24.017,0.556,6.119,5.204,15.018,17.148,23.385,20.773,61.713,68.658,5.991,146.382,25.17,1.829,79840,45034,1316
bangalore,2020-08-13,4381,1081,11.97,1.12,0,24.356,0.588,6.081,12.764,17.234,26.321,20.799,22.976,67.743,67.334,6.538,102.391,25.166,1.855,81733,47246,1338
bangalore,2020-08-14,4381,1081,11.97,1.12,0,23.657,0.551,6.231,8.704,15.978,20.798,19.544,24.896,67.884,70.727,8.177,112.096,25.321,1.76,84185,49392,1360
bangalore,2020-08-15,4381,1081,11.97,1.12,0,23.467,0.512,6.11,3.872,12.923,13.475,19.215,23.855,64.406,70.679,7.876,119.396,25.31,1.765,87680,51426,1395
bangalore,2020-08-16,4381,1081,11.97,1.12,0,22.9,0.492,6.191,3.983,13.142,13.814,18.32,23.205,65.046,75.557,6.219,87.711,25.102,1.536,89811,53782,1444
bangalore,2020-08-17,4381,1081,11.97,1.12,0,23.257,0.604,6.319,4.424,14.338,14.955,18.404,20.614,57.671,77.929,6.662,112.501,25.03,1.55,91864,55972,1483
bangalore,2020-08-18,4381,1081,11.97,1.12,0,23.694,0.497,6.283,4.22,13.639,14.998,17.845,20.681,57.046,74.926,6.993,117.411,24.942,1.578,94106,59492,1532
bangalore,2020-08-19,4381,1081,11.97,1.12,0,23.907,0.521,6.285,4.633,14.39,16.185,19.075,20.162,59.942,73.414,6.309,116.983,25.117,1.523,96910,62041,1588
bangalore,2020-08-20,4381,1081,11.97,1.12,0,23.718,0.539,6.01,4.707,14.358,16.336,19.129,22.742,64.634,74.138,7.536,98.121,25.028,1.535,99822,64022,1613
bangalore,2020-08-21,4381,1081,11.97,1.12,0,24.294,0.482,5.656,4.45,13.218,15.131,19.463,21.354,63.361,73.236,6.561,126.326,24.87,1.6,102770,66602,1635
bangalore,2020-08-22,4381,1081,11.97,1.12,0,24.711,0.504,5.57,4.575,13.432,15.383,22.715,21.616,56.87,71.066,6.627,143.347,24.735,1.452,105749,69861,1663
bangalore,2020-08-23,4381,1081,11.97,1.12,0,24.583,0.449,5.564,4.079,12.343,14.096,18.664,19.386,48.987,73.766,7.005,88.383,24.542,1.35,107875,71329,1668
bangalore,2020-08-24,4381,1081,11.97,1.12,0,24.684,0.587,5.883,4.716,15.528,17.42,20.62,24.477,62.691,69.629,6.046,136.591,24.838,1.47,109793,73363,1694
bangalore,2020-08-25,4381,1081,11.97,1.12,0,25.244,0.69,5.894,6.337,16.356,19.706,21.285,25.366,67.492,63.587,6.381,161.408,24.815,1.491,112087,74901,1755
bangalore,2020-08-26,4381,1081,11.97,1.12,0,25.798,0.661,6.046,5.499,16.462,19.033,20.975,27.241,65.334,64.684,6.476,163.143,24.731,1.461,115371,77531,1786
bangalore,2020-08-27,4381,1081,11.97,1.12,0,24.95,0.635,5.958,5.208,15.19,17.41,21.266,27.185,67.357,64.019,6.195,138.691,24.96,1.513,118728,80893,1845
bangalore,2020-08-28,4381,1081,11.97,1.12,0,25.218,0.694,6.073,5.072,17.283,16.044,21.031,29.606,70.776,60.75,6.744,157.098,25.107,1.102,121449,83041,1886
bangalore,2020-08-29,4381,1081,11.97,1.12,0,25.623,0.651,6.328,4.704,15.886,17.636,22.938,30.926,67.193,62.121,6.783,193.631,24.92,1.44,124442,85215,1911
bangalore,2020-08-30,4381,1081,11.97,1.12,0,25.386,0.654,6.059,4.792,14.908,17.046,20.406,24.438,57.312,65.094,6.694,158.906,25.145,1.458,127263,87621,1938
bangalore,2020-08-31,4381,1081,11.97,1.12,0,24.947,0.809,6.126,5.944,16.864,19.209,22.265,26.031,58.294,69.756,6.223,168.983,25.205,1.296,129125,90043,1965
bangalore,2020-09-01,4381,1081,11.97,1.12,0,24.474,0.806,6.371,6.064,16.332,18.636,21.033,35.778,60.349,74.366,6.529,149.771,25.1,1.24,132092,91180,2005
bangalore,2020-09-02,4381,1081,11.97,1.12,0,23.79,0.926,6.636,4.808,15.492,16.574,20.911,30.561,64.815,72.668,6.818,68.502,25.117,1.09,135512,93563,2037
bangalore,2020-09-03,4381,1081,11.97,1.12,0,24.488,0.847,6.721,4.602,15.54,16.323,22.736,23.716,55.871,68.807,6.487,137.798,24.822,1.11,138701,96194,2066
bangalore,2020-09-04,4381,1081,11.97,1.12,0,25.458,0.867,6.665,4.689,15.382,15.951,23.71,25.007,67.245,70.683,6.794,109.188,24.975,1.205,141664,97926,2091
bangalore,2020-09-05,4381,1081,11.97,1.12,0,25.4,0.833,7.183,4.089,15.406,15.564,27.457,35.961,81.927,72.623,6.875,111.309,25.17,0.934,144757,101152,2125
bangalore,2020-09-06,4381,1081,11.97,1.12,0,25.817,0.711,6.759,4.102,13.138,14.197,26.514,31.03,74.488,70.419,6.949,134.109,25.482,1.069,147581,105692,2163
bangalore,2020-09-07,4381,1081,11.97,1.12,0,22.085,0.637,5.751,4.087,12.412,13.664,22.367,15.634,54.999,67.649,6.695,135.04,25.207,1.53,150523,108642,2211
bangalore,2020-09-08,4381,1081,11.97,1.12,0,25.063,0.724,5.843,4.118,13.057,13.724,19.249,15.74,49.172,66.096,6.381,122.895,26.453,1.303,153625,110972,2266
bangalore,2020-09-09,4381,1081,11.97,1.12,0,24.588,0.69,5.96,4.09,12.825,13.718,19.67,17.204,55.916,69.273,6.741,142.442,26.808,1.262,157044,112536,2307
bangalore,2020-09-10,4381,1081,11.97,1.12,0,23.918,0.599,5.668,3.956,12.08,13.281,19.189,14.26,46.038,73.495,6.8,209.303,27.602,1.75,160205,114208,2340
bangalore,2020-09-11,4381,1081,11.97,1.12,0,23.391,0.577,5.505,4.053,11.833,13.278,18.729,16.839,122.038,74.975,5.747,152.115,26.917,1.582,163631,120324,2370
bangalore,2020-09-12,4381,1081,11.97,1.12,0,22.86,0.66,5.705,4.27,12.297,13.954,18.249,23.459,61.001,79.27,7.559,145.48,26.927,1.418,167183,123862,2391
bangalore,2020-09-13,4381,1081,11.97,1.12,0,22.933,0.609,5.785,4.158,12.062,13.862,17.406,26.651,68.614,78.591,8.97,150.953,27.045,1.263,170662,127132,2436
bangalore,2020-09-14,4381,1081,11.97,1.12,0,23.799,0.846,6.864,5.029,14.825,16.01,18.062,20.102,62.558,74.016,6.404,129.248,26.442,1.555,173628,130627,2473
bangalore,2020-09-15,4381,1081,11.97,1.12,0,24.036,0.664,6.143,4.49,13.122,14.607,18.472,19.361,57.948,73.73,8.85,123.438,26.962,1.511,176712,134516,2514
bangalore,2020-09-16,4381,1081,11.97,1.12,0,24.347,0.65,6.568,4.34,14.308,15.424,22.087,23.027,60.27,71.056,7.749,124.082,26.953,1.59,180283,138289,2521
bangalore,2020-09-17,4381,1081,11.97,1.12,0,24.26,0.715,6.365,3.995,13.583,14.647,22.392,19.862,65.408,71.408,6.195,170.939,26.93,1.281,184082,140473,2555
bangalore,2020-09-18,4381,1081,11.97,1.12,0,24.496,0.607,6.105,4.266,12.357,14.209,18.714,15.114,58.709,71.76,6.15,155.111,26.988,1.666,187705,143198,2592
bangalore,2020-09-19,4381,1081,11.97,1.12,0,23.368,0.651,6.246,4.537,12.377,13.666,18.955,17.439,58.027,77.125,5.943,119.778,26.985,1.67,191438,147378,2625
bangalore,2020-09-20,4381,1081,11.97,1.12,0,22.158,0.788,6.025,4.412,12.482,13.776,17.822,13.434,48.909,76.633,6.533,97.524,27.183,1.374,194760,150348,2657
bangalore,2020-09-21,4381,1081,11.97,1.12,0,23.11,0.594,6.173,3.939,12.156,12.478,18.242,15.808,54.191,70.606,7.224,163.682,27.238,1.763,197646,153884,2689
bangalore,2020-09-22,4381,1081,11.97,1.12,0,22.355,0.58,6.01,3.138,11.243,11.181,19.335,17.884,57.036,74.222,6.488,88.082,27.035,1.653,200728,158029,2715
bangalore,2020-09-23,4381,1081,11.97,1.12,0,22.708,0.619,6.22,3.269,12.334,12.287,19.704,24.562,77.837,75.048,6.739,142.478,27.09,1.555,204275,161565,2738
bangalore,2020-09-24,4381,1081,11.97,1.12,0,24.548,0.714,6.323,3.317,12.398,12.286,18.732,23.179,68.169,75.523,6.058,144.266,27.145,1.373,208467,165419,2762
bangalore,2020-09-25,4381,1081,11.97,1.12,0,24.663,0.514,6.233,2.802,11.822,10.671,20.111,20.768,64.813,69.021,6.168,128.685,26.787,1.358,212547,167936,2794
bangalore,2020-09-26,4381,1081,11.97,1.12,0,23.642,0.749,6.393,3.792,12.854,13.457,18.914,22.355,66.346,72.653,5.988,63.705,26.773,1.06,216630,170430,2821
